word,activation,imagery,pleasantness
baby,2.3333,3.0,2.7143
babysit,2.3636,2.2,2.0
babysitter,1.625,3.0,2.0
babysitting,2.3333,2.2,2.2
back,1.375,2.6,1.8333
backed,1.6667,1.6,1.8
background,1.2222,2.6,2.1429
backs,1.5,2.4,2.1667
backward,1.4615,2.6,1.2727
bacon,1.5556,2.8,1.8571
bacterial,1.625,2.4,1.3333
bad,2.1111,2.2,1.2857
badger,2.1111,2.6,1.5714
badgers,2.4615,3.0,1.3636
badly,1.6667,1.4,1.0
bag,1.1818,3.0,1.8889
bags,1.2222,3.0,2.0
baiting,1.75,2.4,1.5
bake,2.4286,3.0,2.0
baker,2.1818,3.0,2.3333
balance,1.625,2.2,2.1667
balanced,1.8889,2.4,2.5714
ball,2.0,3.0,2.0
ballet,2.3636,2.8,2.0
ballistic,2.7273,2.2,1.5556
balloon,1.9,3.0,2.625
ballot,1.5556,2.4,1.8571
balls,1.875,2.8,2.0
baloney,1.5,2.6,1.375
bananas,1.3,3.0,2.375
band,1.7273,2.6,2.0
bandied,1.5556,1.4,1.7143
bands,1.9,2.6,1.625
bank,1.7778,3.0,1.8571
bankers,1.875,2.8,1.8333
banks,1.625,3.0,2.3333
baptist,1.375,1.8,1.5
baptized,2.0833,2.4,2.4
bar,2.1111,3.0,2.4286
barbecue,2.6,3.0,2.75
barbed,2.0833,2.2,1.2
bare,1.2727,3.0,1.8889
barely,1.4,1.4,1.375
bargaining,2.6364,2.4,2.3333
barged,2.0909,1.4,1.4444
bark,2.0,3.0,1.0
barked,2.3,2.2,1.25
barn,1.375,3.0,2.0
barometer,1.625,2.8,2.0
baroque,1.4444,1.0,2.1429
barrel,1.5455,2.8,1.8889
barriers,1.75,2.4,1.4
bars,1.8333,3.0,1.9
base,1.2857,2.2,1.8
baseball,2.3333,3.0,2.25
based,1.1429,1.2,2.0
basement,1.3333,3.0,1.9
bases,1.5,2.0,2.0
basic,1.25,1.8,2.0
basically,1.375,1.4,2.1667
basics,1.125,1.8,2.0
basis,1.2727,1.2,2.2222
basket,1.4444,3.0,1.8571
bass,1.6364,2.2,2.2222
bastard,2.2222,2.2,1.1429
bastards,2.0833,2.2,1.5
bat,1.75,3.0,1.6667
bath,1.375,3.0,2.5
bathing,2.1818,2.4,2.7778
bathroom,1.5833,3.0,1.9
baton,1.3333,2.4,2.1429
battery,1.8,3.0,1.75
batting,2.5,2.6,2.3
battle,2.7,3.0,1.25
battlements,2.3636,2.0,1.4444
bawling,2.4444,1.8,1.4286
bay,1.125,2.8,2.3333
be,1.3333,1.2,2.2857
beach,1.7143,3.0,3.0
beached,1.8571,2.6,2.0
beaches,1.5455,2.8,2.3333
beam,1.5556,2.4,2.1429
beamed,1.7143,1.6,1.8
beams,1.9,2.4,2.375
bear,2.0,3.0,2.0
beard,1.2727,2.6,2.0
bearded,1.4444,2.6,1.7143
bearing,1.5,1.8,2.0
bears,1.7778,2.8,1.8571
beat,2.125,1.4,1.3333
beaten,2.125,2.4,1.0
beating,2.4286,2.4,1.2
beautiful,1.6429,2.8,3.0
beautifully,1.3333,2.0,3.0
beauty,1.875,3.0,2.8333
beavers,2.4545,3.0,2.2222
became,1.75,1.2,2.0
because,1.4444,1.2,1.7143
become,1.625,1.6,1.6667
becomes,2.0909,1.8,2.0
becoming,2.1111,1.8,1.8571
bed,1.7,3.0,2.375
bedroom,1.5,3.0,2.1667
beds,1.5833,3.0,2.3
bee,1.875,3.0,2.0
beef,1.5,2.8,1.9
been,1.4444,1.2,1.5714
beer,1.5,3.0,2.0
beers,1.8462,3.0,2.3636
bees,1.8889,3.0,1.7143
before,1.25,1.4,1.8333
beg,2.2222,2.8,1.0
began,2.2222,1.6,2.0
begged,2.5385,1.8,1.0
begging,2.4444,2.6,1.0
begin,2.2727,1.8,2.2222
beginner,1.4444,2.4,1.8571
beginning,1.875,2.2,2.1667
begins,2.0,2.0,2.2
begun,2.1818,1.8,2.3333
behalf,1.25,1.2,1.8333
behave,2.0,2.2,2.2857
behaved,2.0,2.0,2.1667
behavior,2.4545,2.2,2.0
behind,1.4167,2.0,1.4
being,1.8,1.6,2.125
beings,1.6667,2.0,1.8571
belgian,1.625,2.2,2.1667
belgians,1.7,2.2,2.0
belief,1.2,1.8,2.25
beliefs,1.8182,2.0,1.8889
believe,1.6667,2.0,2.1429
believed,1.5556,1.6,2.1429
believes,1.5556,1.8,2.2857
believing,2.125,1.4,2.3333
belittle,2.0,1.2,1.3333
bell,1.5,3.0,2.1667
belly,1.5833,3.0,1.9
belong,1.4444,2.0,2.2857
belonged,1.4,1.6,2.0
belonging,1.8182,2.0,2.0
belongs,1.6364,2.0,2.3333
beloved,1.7,2.0,2.25
below,1.6364,2.6,1.4444
belt,1.6364,3.0,1.4444
bench,1.0,3.0,1.75
bend,1.8,2.4,1.75
beneath,1.375,2.0,1.8333
beneficial,1.25,1.6,2.3333
benefit,1.5556,2.2,2.4286
benefits,1.7273,1.8,2.4444
bent,1.9167,2.8,1.7
beseeching,2.0833,1.0,1.7
beside,1.2857,2.6,2.0
besides,1.3333,1.4,1.75
besotted,1.5714,1.4,1.4
best,2.0769,2.2,2.5455
bet,1.375,3.0,1.5
better,1.5,2.4,2.5
between,1.625,2.6,1.6667
beyond,1.625,2.4,1.8333
bible,1.8182,3.0,2.0
biblical,1.8889,1.8,2.0
bid,2.1818,1.8,2.0
bide,1.4444,1.4,1.8571
big,1.6364,2.2,2.0
bigger,1.75,2.2,2.1667
biggest,1.75,2.4,2.3333
bigwigs,1.9091,2.0,1.7778
bike,2.3333,3.0,2.1
bikes,2.3333,3.0,2.1429
biking,2.8182,3.0,2.3333
bill,1.6364,3.0,1.7778
billboard,1.4,3.0,1.875
billion,2.0909,1.8,2.2222
bills,1.7,3.0,1.5
binding,1.75,1.8,1.6667
binge,1.8889,1.8,1.2857
biography,1.375,2.6,1.8333
biological,1.4286,2.0,1.6
birches,1.7273,2.2,1.8889
bird,2.0,3.0,2.2857
birds,2.1429,3.0,2.2
birth,2.6,2.8,2.125
birthday,2.25,3.0,2.6667
bishop,1.5455,2.6,1.6667
bit,1.7778,2.0,1.7143
bitches,1.75,2.6,1.0
bitching,2.5556,2.4,1.0
bitchy,2.375,2.0,1.0
bite,2.5556,2.8,1.2857
bits,1.2857,2.8,1.6
bitter,2.0769,2.2,1.0909
bitterly,2.2222,1.4,1.1429
bitterness,2.125,1.6,1.3333
blab,2.2727,1.6,1.2222
black,1.875,2.6,2.0
blackbird,1.6667,3.0,2.0
blackest,1.375,1.8,2.0
blade,1.7273,3.0,1.6667
blades,1.8889,3.0,1.7143
blame,2.2,2.0,1.0
blames,2.375,2.0,1.0
blank,1.1667,2.6,1.6
blanked,1.25,1.8,1.3333
blanket,1.25,3.0,2.4
blankets,1.5556,3.0,2.1429
blankly,1.25,1.2,1.6667
blase,1.5,1.0,1.3333
blast,2.5556,2.4,1.5714
blazer,2.0,2.2,1.5
bleak,1.4444,2.0,1.2857
bleat,1.3333,1.6,1.4286
bleeding,2.6154,3.0,1.0
blessed,1.5556,2.2,2.4286
blessedly,1.5455,1.4,2.3333
blessing,1.8889,2.2,2.2857
blew,2.125,2.2,1.3333
blind,1.4286,2.6,1.0
blindness,1.2727,2.2,1.0
bloc,1.375,1.8,1.5
block,1.4444,2.8,1.1429
blockade,1.75,2.2,1.6667
blocked,1.9091,2.6,1.3333
blockhead,1.5,2.4,1.3
blocks,1.4,2.2,1.875
blond,1.5556,2.6,2.5714
blonde,1.625,2.6,2.6667
blood,2.0,3.0,1.375
bloom,1.6,2.2,2.25
blooming,2.4444,2.6,2.1429
blow,2.0,2.4,2.0
blowing,2.4444,2.6,1.2857
blowtorch,2.0,2.6,1.2857
blue,1.25,2.8,2.0
bluebell,1.25,2.2,2.1667
bluer,1.625,1.6,2.3333
blues,1.5833,2.0,1.3
blurt,2.4444,1.6,1.125
blushes,2.3,2.8,2.0
blustering,2.6364,1.8,1.2
boar,2.0,2.4,1.2
board,1.6,2.6,1.3333
boards,1.7273,3.0,1.5
boat,1.8182,3.0,2.5
boating,2.0,2.6,2.6
boats,1.8,3.0,2.3333
bodies,2.1111,2.8,2.125
body,1.5556,3.0,2.125
boil,2.4444,2.8,1.375
boiled,2.0909,1.8,1.2
