,term,cat
808,double crossed,fairness.vice
809,be partial,fairness.vice
810,go back on,fairness.vice
811,stacking the deck,fairness.vice
812,robber,fairness.vice
813,segregates,fairness.vice
814,ripping off,fairness.vice
815,trickster,fairness.vice
816,rips off,fairness.vice
817,behind their backs,fairness.vice
818,mooched,fairness.vice
819,stacked the deck,fairness.vice
820,was partial,fairness.vice
821,am partial,fairness.vice
822,stacked deck,fairness.vice
823,stacks the deck,fairness.vice
824,behind their back,fairness.vice
825,been partial,fairness.vice
826,free rider,fairness.vice
827,ripped off,fairness.vice
828,free riders,fairness.vice
829,deceivingly,fairness.vice
830,steals,fairness.vice
831,unequaled,fairness.vice
832,team player,loyalty.virtue
833,player,loyalty.virtue
834,patriot,loyalty.virtue
835,loyal,loyalty.virtue
836,loyalty,loyalty.virtue
837,patriots,loyalty.virtue
838,follower,loyalty.virtue
839,fidelity,loyalty.virtue
840,allegiance,loyalty.virtue
841,ally,loyalty.virtue
842,comrade,loyalty.virtue
843,loyalties,loyalty.virtue
844,death do us part,loyalty.virtue
845,faction,loyalty.virtue
846,comrades,loyalty.virtue
847,allegiances,loyalty.virtue
848,sacrifice,loyalty.virtue
849,allies,loyalty.virtue
850,organization,loyalty.virtue
851,followers,loyalty.virtue
852,us against them,loyalty.virtue
853,sacrifices,loyalty.virtue
854,all for one,loyalty.virtue
855,comradery,loyalty.virtue
856,one for all,loyalty.virtue
857,fellow,loyalty.virtue
858,family,loyalty.virtue
859,allegiant,loyalty.virtue
860,corps,loyalty.virtue
861,unity,loyalty.virtue
862,union jack,loyalty.virtue
863,uniter,loyalty.virtue
864,old glory,loyalty.virtue
865,companions,loyalty.virtue
866,country,loyalty.virtue
867,companion,loyalty.virtue
868,homeland,loyalty.virtue
869,sacrificing,loyalty.virtue
870,indivisible,loyalty.virtue
871,sacrificed,loyalty.virtue
872,solidarity,loyalty.virtue
873,troops,loyalty.virtue
874,nation,loyalty.virtue
875,cult,loyalty.virtue
876,kinship,loyalty.virtue
877,companionship,loyalty.virtue
878,clique,loyalty.virtue
879,allied,loyalty.virtue
880,community,loyalty.virtue
881,group,loyalty.virtue
882,factions,loyalty.virtue
883,familiarity,loyalty.virtue
884,solidarities,loyalty.virtue
885,enlist,loyalty.virtue
886,companionships,loyalty.virtue
887,wife,loyalty.virtue
888,united,loyalty.virtue
889,belongs,loyalty.virtue
890,congregation,loyalty.virtue
891,brothers in arms,loyalty.virtue
892,clan,loyalty.virtue
893,trooper,loyalty.virtue
894,sect,loyalty.virtue
895,enlisted,loyalty.virtue
896,enlistment,loyalty.virtue
897,tribalism,loyalty.virtue
898,cohorts,loyalty.virtue
899,war,loyalty.virtue
900,joining,loyalty.virtue
901,troop,loyalty.virtue
902,sacrificial,loyalty.virtue
903,coalition,loyalty.virtue
904,insider,loyalty.virtue
905,pledge,loyalty.virtue
906,cohort,loyalty.virtue
907,enlisting,loyalty.virtue
908,unite,loyalty.virtue
909,communion,loyalty.virtue
910,familiarities,loyalty.virtue
911,belong,loyalty.virtue
912,ingroup,loyalty.virtue
913,belonged,loyalty.virtue
914,company,loyalty.virtue
915,collective,loyalty.virtue
916,fellows,loyalty.virtue
917,cliques,loyalty.virtue
918,uniting,loyalty.virtue
919,clans,loyalty.virtue
920,hazing,loyalty.virtue
921,congregates,loyalty.virtue
922,herd,loyalty.virtue
923,sects,loyalty.virtue
924,uniters,loyalty.virtue
925,undivided,loyalty.virtue
926,unites,loyalty.virtue
927,pledgers,loyalty.virtue
928,coalitions,loyalty.virtue
929,enlists,loyalty.virtue
930,grouping,loyalty.virtue
931,insiders,loyalty.virtue
932,families,loyalty.virtue
933,troupe,loyalty.virtue
934,fellowship,loyalty.virtue
935,kin,loyalty.virtue
936,pledger,loyalty.virtue
937,horde,loyalty.virtue
938,nations,loyalty.virtue
939,tribe,loyalty.virtue
940,hordes,loyalty.virtue
941,pledges,loyalty.virtue
942,herder,loyalty.virtue
943,commune,loyalty.virtue
944,cults,loyalty.virtue
945,congregations,loyalty.virtue
946,organizations,loyalty.virtue
947,herds,loyalty.virtue
948,pledging,loyalty.virtue
949,communities,loyalty.virtue
950,familiar,loyalty.virtue
951,hazings,loyalty.virtue
952,belonging,loyalty.virtue
953,pledged,loyalty.virtue
954,bowed,loyalty.virtue
955,collectively,loyalty.virtue
956,together,loyalty.virtue
957,groups,loyalty.virtue
958,homelands,loyalty.virtue
959,collectives,loyalty.virtue
960,troopers,loyalty.virtue
961,tribes,loyalty.virtue
962,companies,loyalty.virtue
963,countries,loyalty.virtue
964,troupes,loyalty.virtue
965,fellowships,loyalty.virtue
966,tribal,loyalty.virtue
967,communes,loyalty.virtue
968,herders,loyalty.virtue
969,grouped,loyalty.virtue
970,herding,loyalty.virtue
971,congregate,loyalty.virtue
972,herded,loyalty.virtue
973,congregating,loyalty.virtue
974,traitor,loyalty.vice
975,disloyal,loyalty.vice
976,treason,loyalty.vice
977,traitors,loyalty.vice
978,betray,loyalty.vice
979,betraying,loyalty.vice
980,betrayer,loyalty.vice
981,betrayers,loyalty.vice
982,unpatriotic,loyalty.vice
983,betrayed,loyalty.vice
984,treachery,loyalty.vice
985,enemies,loyalty.vice
986,backstabber,loyalty.vice
987,backstabbed,loyalty.vice
988,heretic,loyalty.vice
989,enemy,loyalty.vice
990,betrays,loyalty.vice
991,deserter,loyalty.vice
992,infidels,loyalty.vice
993,infidel,loyalty.vice
994,backstab,loyalty.vice
995,deserting,loyalty.vice
996,apostate,loyalty.vice
997,heresy,loyalty.vice
998,backstabbers,loyalty.vice
999,heretics,loyalty.vice
1000,unfaithful,loyalty.vice
1001,rebellion,loyalty.vice
1002,desertion,loyalty.vice
1003,deserters,loyalty.vice
1004,apostates,loyalty.vice
1005,unfaithfulness,loyalty.vice
1006,backstabbing,loyalty.vice
1007,rebel,loyalty.vice
1008,cheat on,loyalty.vice
1009,treacherous,loyalty.vice
1010,backstabs,loyalty.vice
1011,heresies,loyalty.vice
1012,outsider,loyalty.vice
1013,outgroup,loyalty.vice
1014,cheated on,loyalty.vice
1015,against us,loyalty.vice
1016,cheating on,loyalty.vice
1017,rebels,loyalty.vice
1018,infidelity,loyalty.vice
1019,outgroups,loyalty.vice
1020,rebellions,loyalty.vice
1021,outsiders,loyalty.vice
1022,cheats on,loyalty.vice
1023,respect,authority.virtue
1024,obey,authority.virtue
1025,authority,authority.virtue
1026,obeyed,authority.virtue
1027,deference,authority.virtue
1028,reverence,authority.virtue
1029,respecting,authority.virtue
1030,obeying,authority.virtue
1031,tradition,authority.virtue
1032,adhere,authority.virtue
1033,obeys,authority.virtue
1034,revere,authority.virtue
1035,govern,authority.virtue
1036,comply,authority.virtue
1037,respectful,authority.virtue
1038,honor,authority.virtue
1039,adhered,authority.virtue
1040,allegiance,authority.virtue
1041,dictates,authority.virtue
1042,nobility,authority.virtue
1043,forbid,authority.virtue
1044,dominion,authority.virtue
1045,governed,authority.virtue
1046,obedient,authority.virtue
1047,reveres,authority.virtue
1048,adhering,authority.virtue
1049,governs,authority.virtue
1050,governing,authority.virtue
1051,oppress,authority.virtue
1052,respected,authority.virtue
1053,respectfully,authority.virtue
1054,honorable,authority.virtue
1055,dictate,authority.virtue
1056,commandments,authority.virtue
1057,commandment,authority.virtue
1058,venerate,authority.virtue
1059,politeness,authority.virtue
1060,respects,authority.virtue
1061,obedience,authority.virtue
1062,divine right,authority.virtue
1063,forbids,authority.virtue
1064,permission,authority.virtue
1065,veneration,authority.virtue
1066,hierarchy,authority.virtue
1067,forbade,authority.virtue
1068,honoring,authority.virtue
1069,proper,authority.virtue
1070,venerated,authority.virtue
1071,stature,authority.virtue
1072,acquiesce,authority.virtue
1073,adherence,authority.virtue
1074,deferential,authority.virtue
1075,leadership,authority.virtue
1076,punish,authority.virtue
1077,forbidding,authority.virtue
1078,revered,authority.virtue
1079,filial piety,authority.virtue
1080,patriarchs,authority.virtue
1081,decree,authority.virtue
1082,coerce,authority.virtue
